"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000096006",299.135724614589,9.91125495651608,1.57512660736045,6.29235447499997,3.1268642473228e-10,3.42601446319221e-09
"ENSMUSG00000076586",115.448990854918,-8.47044158355047,1.34740166099359,-6.28650077312823,3.24701400753662e-10,3.5550940676605e-09
"ENSMUSG00000030708",62.2826737977442,-11.258245026128,1.79100098606367,-6.28600716232533,3.2573492285129e-10,3.56127468568732e-09
"ENSMUSG00000095567",1118.2240405181,1.86382044746822,0.296500299119312,6.28606599387685,3.25611572972444e-10,3.56127468568732e-09
"ENSMUSG00000044162",255.755060013031,9.6846848909127,1.54100127510407,6.28467026431154,3.28550276817549e-10,3.58947086600813e-09
"ENSMUSG00000036822",1502.25499468024,1.95440004894271,0.311042213836302,6.28339164911965,3.3126511455013e-10,3.61652913699372e-09
"ENSMUSG00000024844",595.46345188726,-2.84059394463337,0.452156616476644,-6.28232307373545,3.33550773463502e-10,3.63886641222467e-09
"ENSMUSG00000073490",300.639264404325,-6.20739187439862,0.988121734648913,-6.28201127121665,3.342206091803e-10,3.64355647595982e-09
"ENSMUSG00000037416",4446.18347061889,-1.44151512985516,0.229559974902573,-6.27947067195381,3.39727670978209e-10,3.70093573276548e-09
"ENSMUSG00000027611",250.063282211723,9.65252635493207,1.53748107009201,6.27814321925565,3.42640226309465e-10,3.72998887221185e-09
"ENSMUSG00000035572",1322.37812160145,-2.01982344316592,0.32173212840397,-6.27796624846188,3.43030353816115e-10,3.73156085462143e-09
"ENSMUSG00000067455",284.690492898615,9.83917480558509,1.56738400978331,6.27745003405091,3.44170814264201e-10,3.7412870332256e-09
"ENSMUSG00000005198",3086.1721882191,-2.97270899116332,0.473705460404783,-6.27543745985771,3.48652604198057e-10,3.78729502671795e-09
"ENSMUSG00000022757",868.146663821435,-1.88463247695347,0.300393383088525,-6.27388146029192,3.52156659067261e-10,3.82262403473583e-09
"ENSMUSG00000020490",7865.74673946005,-8.22079064547182,1.31049158456215,-6.27305870736932,3.54023341547997e-10,3.84014176053421e-09
"ENSMUSG00000052160",347.15242613938,-3.97200343844872,0.633447667274667,-6.27045238881025,3.60000619180152e-10,3.90219086571719e-09
"ENSMUSG00000025324",473.475929784852,2.41577930000993,0.385352697184934,6.26900841140493,3.63354504801301e-10,3.93573574173506e-09
"ENSMUSG00000036887",236.540687591382,-7.69659434361307,1.22802571110788,-6.26745374628148,3.66999583949197e-10,3.97238466276016e-09
"ENSMUSG00000057729",2565.92886725926,-4.12852067930436,0.659047058638326,-6.26437918990853,3.74313622450238e-10,4.04866571975023e-09
"ENSMUSG00000006127",1279.01036302072,-1.53418433650507,0.244927347203838,-6.26383437382457,3.75624440054642e-10,4.05995213286106e-09
"ENSMUSG00000024042",1033.87704596641,3.53103601498312,0.563744495746493,6.26353967377975,3.76335349527783e-10,4.06474297149993e-09
"ENSMUSG00000073468",516.566091184049,-2.14238895588408,0.342077232575257,-6.26288086978357,3.77929346222038e-10,4.07905831679309e-09
"ENSMUSG00000043953",674.2794944725,-2.23525782006744,0.356912845799707,-6.26275530951841,3.78233890089658e-10,4.0794459196744e-09
"ENSMUSG00000043008",1070.84056031914,2.1233614265563,0.339149931192647,6.26083401842169,3.8292393219758e-10,4.12709924368521e-09
"ENSMUSG00000041133",5243.87964704357,1.70088098051735,0.271694599452142,6.26026790354716,3.84316664585007e-10,4.13917224708363e-09
"ENSMUSG00000079477",1705.30400820584,-1.86353936371158,0.297831637311389,-6.25702286209175,3.92395908904719e-10,4.22319225558261e-09
"ENSMUSG00000097507",71.9732881169375,-11.4699934404891,1.83346757567118,-6.25590198195364,3.95224926964948e-10,4.25062729524767e-09
"ENSMUSG00000084911",164.661759321411,-4.73101394162521,0.756529745932699,-6.25357293227447,4.01167089279772e-10,4.31148154126159e-09
"ENSMUSG00000002346",348.475537675382,-3.98628235942738,0.63816985715597,-6.24642846215334,4.19944220872584e-10,4.51009401567967e-09
"ENSMUSG00000046364",3574.05778121142,1.35501646072397,0.216956150180641,6.24557754917648,4.22236974246955e-10,4.53151285576979e-09
"ENSMUSG00000031821",603.102752521196,-2.22663720145978,0.356607365335828,-6.2439461937722,4.26666818772708e-10,4.57582084031239e-09
"ENSMUSG00000017309",76.7405282807265,-11.5511149205605,1.85164367059753,-6.23830335392387,4.42342226102075e-10,4.74058507098525e-09
"ENSMUSG00000071478",279.706699546358,9.81368601674279,1.5732421540311,6.23787380194289,4.43558251542307e-10,4.7502648856992e-09
"ENSMUSG00000032624",1406.7885562258,1.90014882689313,0.30481285987963,6.23382106530378,4.55192999921191e-10,4.87143121691558e-09
"ENSMUSG00000048285",299.088567566549,4.51581075424143,0.724554986082957,6.23253009223567,4.58961339465851e-10,4.90830063459747e-09
"ENSMUSG00000039270",1345.26032482417,-3.06476668238707,0.491826794800377,-6.23139429325114,4.62301892881705e-10,4.94054647804473e-09
"ENSMUSG00000041935",1072.70784961834,-1.90309097611061,0.305515621058815,-6.22911185200657,4.69086806824443e-10,5.00953041380871e-09
"ENSMUSG00000056145",560.530107900498,2.46539158708721,0.396121595598965,6.22382524577929,4.85177477871009e-10,5.17772675962694e-09
"ENSMUSG00000079293",620.781363669601,-3.21692315604708,0.517099896644003,-6.22108644175917,4.93724041140547e-10,5.26523405109575e-09
"ENSMUSG00000009291",1269.93940338198,-1.60822306022013,0.258519039279733,-6.22090761555065,4.94287157875631e-10,5.26754019613988e-09
"ENSMUSG00000020456",2554.02397566976,-1.33882573746786,0.215257038622986,-6.21966067187592,4.98231195628831e-10,5.3058477817808e-09
"ENSMUSG00000032058",1421.01170255726,-1.84762852396533,0.297073660438458,-6.21942894983816,4.98967500515949e-10,5.30636685314588e-09
