"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000025138",2187.67469318036,-1.86977791992751,0.272769051045031,1.63388806771932e-12,1.78468208209818e-11
"ENSMUSG00000037933",2547.28916660327,-1.90986699352108,0.27894646423281,1.66089448139126e-12,1.81291052391076e-11
"ENSMUSG00000038370",338.051752502479,11.6676884363722,3.12100618902029,1.68193999862859e-12,1.83459753384351e-11
"ENSMUSG00000090330",906.968454460684,-3.42393862683596,0.510477278921283,1.69565566282062e-12,1.84826467247448e-11
"ENSMUSG00000019982",8614.41308548969,1.90524810278253,0.278301515744315,1.70009282635036e-12,1.85180621134334e-11
"ENSMUSG00000079641",8083.02171644535,2.09960348666632,0.308485795903345,1.70447106422441e-12,1.85527866466941e-11
"ENSMUSG00000022707",746.433457510513,2.58921922051441,0.381718578079086,1.70888455175098e-12,1.85878461326884e-11
"ENSMUSG00000035203",2262.55545532257,-2.37468593176144,0.350099428208252,1.76793859799387e-12,1.92167774943727e-11
"ENSMUSG00000024993",1392.45449215838,-2.11355316310333,0.310275528929171,1.78008303745903e-12,1.93352991671595e-11
"ENSMUSG00000031681",502.032095386532,3.2877204669635,0.488950516906641,1.82078042411081e-12,1.97635825004284e-11
"ENSMUSG00000052920",478.479233020215,6.41620327174145,0.979847770431356,1.85350775453281e-12,2.0104819324915e-11
"ENSMUSG00000028911",4976.47095302122,-2.1149475341632,0.310830547222565,1.86938317014858e-12,2.0262917575178e-11
"ENSMUSG00000035011",2387.18896385739,-2.67622998343984,0.396619032122608,1.88860386456986e-12,2.04570315754346e-11
"ENSMUSG00000040234",2429.97932007932,-1.8832703237207,0.275748620364254,1.9293827787331e-12,2.08842287306339e-11
"ENSMUSG00000054383",432.631453566417,-4.35689562606053,0.6535659281631,1.95229811882494e-12,2.11176063692744e-11
"ENSMUSG00000060657",5111.4502578526,-1.40942855471312,0.204560573131432,2.00542393928088e-12,2.16772142451949e-11
"ENSMUSG00000018677",1179.07435871812,-2.42067790805099,0.358743584844995,2.19984553332936e-12,2.37622954456027e-11
"ENSMUSG00000031756",1397.41137428471,-2.04960823380428,0.302090196871102,2.25050930497415e-12,2.42927205932355e-11
"ENSMUSG00000024590",10245.2841270133,-1.78412542061253,0.261966566917191,2.38969196477491e-12,2.57772516643229e-11
"ENSMUSG00000021871",6214.11593956994,-1.40776541373644,0.205132367790263,2.43387902245046e-12,2.62357346631642e-11
"ENSMUSG00000000184",2309.7890923738,2.37592282791341,0.351854042441442,2.51585015903153e-12,2.71005918651171e-11
"ENSMUSG00000038127",2889.73490638333,1.6315118923733,0.239996972993519,2.62099688305761e-12,2.82137281879965e-11
"ENSMUSG00000028944",964.277565382865,3.46492775423255,0.521442705270391,2.63276271558772e-12,2.8320822945387e-11
"ENSMUSG00000028059",2140.46792016848,2.62037628451497,0.390741337247699,2.64497180462891e-12,2.84325348405178e-11
"ENSMUSG00000030704",4184.52866838299,-1.86218131688375,0.274710305602993,2.75440912992589e-12,2.95885424591005e-11
"ENSMUSG00000058690",965.718894418673,2.29703355398322,0.341050773104495,2.78138240799461e-12,2.98577187282452e-11
"ENSMUSG00000024913",661.448370244797,2.83896416503249,0.4242571498111,2.78784276552883e-12,2.99064729430818e-11
"ENSMUSG00000054999",247.037458231976,-8.17390496191429,1.26589661892067,2.80377991376035e-12,3.00567520741283e-11
"ENSMUSG00000038379",2996.47996464196,-2.05645527224974,0.304611955179,2.84547011073462e-12,3.04827097017323e-11
"ENSMUSG00000102974",582.322262605185,-3.14205177381046,0.472562638456239,2.92946921027486e-12,3.1361014134996e-11
"ENSMUSG00000022884",11877.8422831784,1.59039841659261,0.232905197078634,2.93372744013714e-12,3.13850443441438e-11
"ENSMUSG00000028080",7984.33518469177,-1.50354957703938,0.220486807229544,2.99431904376346e-12,3.20112832202613e-11
"ENSMUSG00000033712",1489.7326992468,2.44704651956361,0.365240506675236,3.05024495622998e-12,3.25868184597372e-11
"ENSMUSG00000033826",1935.65338566649,1.85553499359979,0.27437404358923,3.11388369255567e-12,3.32439076136063e-11
"ENSMUSG00000042688",1639.40694542544,2.29671227369724,0.342439089466022,3.29182421430081e-12,3.51195510118458e-11
"ENSMUSG00000023456",1782.76304639367,2.38226225563216,0.355722511481407,3.32703444847112e-12,3.54709206212854e-11
"ENSMUSG00000101249",330208.438770634,-10.1346937419058,1.57052852215273,3.35328587516316e-12,3.57263615421519e-11
"ENSMUSG00000021273",1548.99818715472,-2.29291288453074,0.342318143206531,3.41093009112593e-12,3.63156880671993e-11
"ENSMUSG00000008226",2304.04992023447,-3.68285011810103,0.558014224920162,3.47369786211641e-12,3.69587225780263e-11
"ENSMUSG00000022141",11001.7530383119,-1.34890383329509,0.197703139565232,3.68423728882584e-12,3.91720372584777e-11
"ENSMUSG00000042408",621.237432392366,3.20031776347028,0.484681035490467,3.82346748956034e-12,4.0624667866242e-11
"ENSMUSG00000044220",307.789559547127,11.5092321159174,3.11236191999315,4.02867456868133e-12,4.27758518406239e-11
"ENSMUSG00000034833",436.325502939221,3.75271331568711,0.57125272318173,4.07645757152759e-12,4.32537400731113e-11
"ENSMUSG00000026484",1314.71310879471,2.06023745046935,0.307630470413599,4.11444216027487e-12,4.36270816001391e-11
"ENSMUSG00000038884",540.248790972707,3.25342382746811,0.492484613375338,4.12387187059222e-12,4.36968155236206e-11
"ENSMUSG00000040407",5009.68154223935,1.93319265662451,0.287841867320246,4.12662555018731e-12,4.36968155236206e-11
"ENSMUSG00000031527",5061.92269874251,-1.53709286904423,0.227265453667288,4.17316114634422e-12,4.41595809830736e-11
"ENSMUSG00000029810",1476.80862685899,3.94250560312708,0.602320349610205,4.21734773709413e-12,4.45968786825551e-11
"ENSMUSG00000049553",1914.56999826155,2.05462251327629,0.307075197731975,4.36567380274505e-12,4.61340729243303e-11
"ENSMUSG00000006276",2798.18957068246,-1.77542197945889,0.264310981859768,4.62261319342346e-12,4.88161733373249e-11
"ENSMUSG00000024298",4413.19792151025,-1.59734685196124,0.23694724431988,4.62787928059887e-12,4.88386962401453e-11
"ENSMUSG00000061477",27660.4396095145,1.66384394705957,0.247389618794459,4.86036666954383e-12,5.12574663587143e-11
"ENSMUSG00000047215",11148.9084123098,1.3802079931366,0.20518399414288,4.96313159343914e-12,5.23058364752778e-11
"ENSMUSG00000035208",1055.80490070323,2.34704153836932,0.353839472382386,4.98512657534902e-12,5.25021404932197e-11
"ENSMUSG00000039621",3736.07960046074,-1.66191763207988,0.247361564082166,5.06305604586366e-12,5.32868700789176e-11
"ENSMUSG00000042207",1865.69891985716,2.61037955889299,0.395328109892756,5.23910141687892e-12,5.51024789371739e-11
"ENSMUSG00000034903",302.211489698599,11.4746511692401,3.11349970825684,5.56001757700119e-12,5.843829667749e-11
"ENSMUSG00000040746",2762.46255577373,-1.91223892844234,0.286746511422881,5.61642586323586e-12,5.89913948317098e-11
"ENSMUSG00000008206",700.468524183896,3.40827668068039,0.520338127842185,5.84505109821462e-12,6.12688711956094e-11
"ENSMUSG00000078923",2200.66945259768,-1.94413112464378,0.292025319790036,5.84438411004648e-12,6.12688711956094e-11
"ENSMUSG00000104164",629.500443341133,-3.53816853445814,0.542940499654847,5.83947908119571e-12,6.12688711956094e-11
"ENSMUSG00000064090",1925.8865046826,-2.15202670665369,0.324562664218331,5.93764003238847e-12,6.2197577409166e-11
"ENSMUSG00000039159",2959.61990008851,-2.00051201324616,0.301005765718677,6.07301337067042e-12,6.35729075947884e-11
"ENSMUSG00000054611",7098.85758585426,-1.24570357951952,0.184346172860743,6.09036026644989e-12,6.37117083712446e-11
"ENSMUSG00000033909",496.110809546575,3.24609511788167,0.497027346236225,6.34243765693125e-12,6.630420909362e-11
"ENSMUSG00000020962",4050.01757128614,-1.53575820133893,0.229047102891466,6.35161391135018e-12,6.63231954549176e-11
"ENSMUSG00000069306",16698.0700067817,-3.06689601864811,0.469178375336344,6.35276389389825e-12,6.63231954549176e-11
